Song,Artist,Genre
Smooth Criminal,Michael Jackson,Pop
Thriller,Michael Jackson,Pop
Billie Jean,Michael Jackson,Pop
I'll Be There,Michael Jackson,Pop
Beat It,Michael Jackson,Pop
Rock With You,Michael Jackson,Pop
Man In The Mirror,Michael Jackson,Pop
The Way You Make Me Feel,Michael Jackson,Pop
Black Or White,Michael Jackson,Pop
I Just Can't Stop Loving You,Michael Jackson,Pop
Bad,Michael Jackson,Pop
Dirty Diana,Michael Jackson,Pop
Don't Stop Till You Get Enough,Michael Jackson,Pop
Remember The Time,Michael Jackson,Pop
You Are Not Alone,Michael Jackson,Pop
They Don't Care About Us,Michael Jackson,Pop
Earth Song,Michael Jackson,Pop
Heal The World,Michael Jackson,Pop
Liberian Girl,Michael Jackson,Pop
You Rock My World,Michael Jackson,Pop
Irreplacable,Beyonce,Pop
Baby Boy,Beyonce,Pop
Crazy In Love,Beyonce,Pop
Check On It,Beyonce,Pop
Single Ladies (Put A Ring On It),Beyonce,Pop
"Jumpin', Jumpin'",Beyonce,Pop
Say My Name,Beyonce,Pop
Lose My Breath,Beyonce,Pop
Survivor,Beyonce,Pop
"Bills, Bills, Bills",Beyonce,Pop
Naughty Girl,Beyonce,Pop
"No, No, No",Beyonce,Pop
03 Bonnie & Clyde,Beyonce,Pop
Soldier,Beyonce,Pop
"Me, Myself And I",Beyonce,Pop
Telephone,Beyonce,Pop
Halo,Beyonce,Pop
If I Were A Boy,Beyonce,Pop
Bootylicious,Beyonce,Pop
Beautiful Liar,Beyonce,Pop
Tiny Dancer,Elton John,Pop
Rocket Man,Elton John,Pop
Saturday Night's Alright For Fighting,Elton John,Pop
Bennie And The Jets,Elton John,Pop
Goodbye Yellow Brick Road,Elton John,Pop
Sorry Seems To Be The Hardest Word,Elton John,Pop
Song For Guy,Elton John,Pop
Empty Garden,Elton John,Pop
Candle In The Wind,Elton John,Pop
Are You Ready For Love,Elton John,Pop
Philadelphia Freedom,Elton John,Pop
Sacrifice,Elton John,Pop
Someone Savd My Life Tonight,Elton John,Pop
Rotten Peaches,Elton John,Pop
